age,sex,L,M,S
0,L,1.0,34.5,0.036957
1,L,1.0,37.3,0.031499
2,L,1.0,39.1,0.030051
3,L,1.0,40.5,0.029630
4,L,1.0,41.6,0.028846
5,L,1.0,42.6,0.028755
6,L,1.0,43.3,0.028289
7,L,1.0,44.0,0.027841
8,L,1.0,44.5,0.028090
9,L,1.0,45.0,0.027778
10,L,1.0,45.4,0.027533
11,L,1.0,45.8,0.027838
12,L,1.0,46.1,0.027658
13,L,1.0,46.3,0.027538
14,L,1.0,46.6,0.027897
15,L,1.0,46.8,0.027778
16,L,1.0,47.0,0.027660
17,L,1.0,47.2,0.027542
18,L,1.0,47.4,0.027953
19,L,1.0,47.5,0.027895
20,L,1.0,47.7,0.028302
21,L,1.0,47.8,0.027729
22,L,1.0,48.0,0.028125
23,L,1.0,48.1,0.028066
24,L,1.0,48.3,0.028471
25,L,1.0,48.4,0.028409
26,L,1.0,48.5,0.027835
27,L,1.0,48.6,0.028292
28,L,1.0,48.7,0.028234
29,L,1.0,48.8,0.028176
30,L,1.0,48.9,0.028630
31,L,1.0,49.0,0.028571
32,L,1.0,49.1,0.028513
33,L,1.0,49.2,0.028455
34,L,1.0,49.3,0.028398
35,L,1.0,49.4,0.028340
36,L,1.0,49.5,0.028788
37,L,1.0,49.5,0.028788
38,L,1.0,49.6,0.028730
39,L,1.0,49.7,0.028672
40,L,1.0,49.7,0.028672
41,L,1.0,49.8,0.029116
42,L,1.0,49.9,0.029058
43,L,1.0,49.9,0.029058
44,L,1.0,50.0,0.029000
45,L,1.0,50.1,0.029441
46,L,1.0,50.1,0.028942
47,L,1.0,50.2,0.029383
48,L,1.0,50.2,0.028884
49,L,1.0,50.3,0.029325
50,L,1.0,50.3,0.028827
51,L,1.0,50.4,0.029266
52,L,1.0,50.4,0.029266
53,L,1.0,50.4,0.029266
54,L,1.0,50.5,0.029703
55,L,1.0,50.5,0.029208
56,L,1.0,50.6,0.029150
57,L,1.0,50.6,0.029645
58,L,1.0,50.7,0.029093
59,L,1.0,50.7,0.029586
60,L,1.0,50.7,0.029586
0,P,1.0,33.9,0.034660
1,P,1.0,36.5,0.032192
2,P,1.0,38.3,0.031984
3,P,1.0,39.5,0.031013
4,P,1.0,40.6,0.030788
5,P,1.0,41.5,0.030723
6,P,1.0,42.2,0.030806
7,P,1.0,42.8,0.030958
8,P,1.0,43.4,0.030530
9,P,1.0,43.8,0.030251
10,P,1.0,44.2,0.030542
11,P,1.0,44.6,0.030269
12,P,1.0,44.9,0.030067
13,P,1.0,45.2,0.030420
14,P,1.0,45.4,0.030287
15,P,1.0,45.7,0.030087
16,P,1.0,45.9,0.029956
17,P,1.0,46.1,0.029827
18,P,1.0,46.2,0.029762
19,P,1.0,46.4,0.030172
20,P,1.0,46.6,0.030043
21,P,1.0,46.7,0.029444
22,P,1.0,46.9,0.029851
23,P,1.0,47.0,0.029255
24,P,1.0,47.2,0.029661
25,P,1.0,47.3,0.029598
26,P,1.0,47.5,0.029474
27,P,1.0,47.6,0.029412
28,P,1.0,47.7,0.029349
29,P,1.0,47.8,0.029289
30,P,1.0,47.9,0.029227
31,P,1.0,48.0,0.029688
32,P,1.0,48.1,0.029625
33,P,1.0,48.2,0.029564
34,P,1.0,48.3,0.029503
35,P,1.0,48.4,0.028926
36,P,1.0,48.5,0.028866
37,P,1.0,48.6,0.028807
38,P,1.0,48.7,0.029261
39,P,1.0,48.7,0.029261
40,P,1.0,48.8,0.029200
41,P,1.0,48.9,0.028630
42,P,1.0,49.0,0.029082
43,P,1.0,49.0,0.029082
44,P,1.0,49.1,0.028514
45,P,1.0,49.2,0.028963
46,P,1.0,49.2,0.028963
47,P,1.0,49.3,0.028906
48,P,1.0,49.3,0.028906
49,P,1.0,49.4,0.028846
50,P,1.0,49.4,0.028846
51,P,1.0,49.5,0.028283
52,P,1.0,49.5,0.028788
53,P,1.0,49.6,0.028226
54,P,1.0,49.6,0.028730
55,P,1.0,49.7,0.028170
56,P,1.0,49.7,0.028673
57,P,1.0,49.8,0.028614
58,P,1.0,49.8,0.028614
59,P,1.0,49.9,0.028557
60,P,1.0,49.9,0.028557
